Citation	wID	1830	1837	1840	1841	1879	1920
Helaman 1:1	1	And	And
Helaman 1:1	1.01	⌴	⌴
Helaman 1:1	2	now	now
Helaman 1:1	2.01	⌴	⌴
Helaman 1:1	3	behold	behold
Helaman 1:1	3.01	,	,
Helaman 1:1	3.02	⌴	⌴
Helaman 1:1	4	it	it
Helaman 1:1	4.01	⌴	⌴
Helaman 1:1	5	came	came
Helaman 1:1	5.01	⌴	⌴
Helaman 1:1	6	to	to
Helaman 1:1	6.01	⌴	⌴
Helaman 1:1	7	pass	pass
Helaman 1:1	7.01	⌴	⌴
Helaman 1:1	8	in	in
Helaman 1:1	8.01	⌴	⌴
Helaman 1:1	9	the	the
Helaman 1:1	9.01	⌴	⌴
Helaman 1:1	10	commencement	commencement
Helaman 1:1	10.01	⌴	⌴
Helaman 1:1	11	of	of
Helaman 1:1	11.01	⌴	⌴
Helaman 1:1	12	the	the
Helaman 1:1	12.01	⌴	⌴
Helaman 1:1	13	fortieth	fortieth
Helaman 1:1	13.01	⌴	⌴
Helaman 1:1	14	year	year
Helaman 1:1	14.01	⌴	⌴
Helaman 1:1	15	of	of
Helaman 1:1	15.01	⌴	⌴
Helaman 1:1	16	the	the
Helaman 1:1	16.01	⌴	⌴
Helaman 1:1	17	reign	reign
Helaman 1:1	17.01	⌴	⌴
Helaman 1:1	18	of	of
Helaman 1:1	18.01	⌴	⌴
Helaman 1:1	19	the	the
Helaman 1:1	19.01	⌴	⌴
Helaman 1:1	20	Judges	judges
Helaman 1:1	20.01	⌴	⌴
Helaman 1:1	21	over	over
Helaman 1:1	21.01	⌴	⌴
Helaman 1:1	22	the	the
Helaman 1:1	22.01	⌴	⌴
Helaman 1:1	23	people	people
Helaman 1:1	23.01	⌴	⌴
Helaman 1:1	24	of	of
Helaman 1:1	24.01	⌴	⌴
Helaman 1:1	25	Nephi	Nephi
Helaman 1:1	25.01	,	,
Helaman 1:1	25.02	⌴	⌴
Helaman 1:1	26	there	there
Helaman 1:1	26.01	⌴	⌴
Helaman 1:1	27	began	began
Helaman 1:1	27.01	⌴	⌴
Helaman 1:1	28	to	to
Helaman 1:1	28.01	⌴	⌴
Helaman 1:1	29	be	be
Helaman 1:1	29.01	⌴	⌴
Helaman 1:1	30	a	a
Helaman 1:1	30.01	⌴	⌴
Helaman 1:1	31	serious	serious
Helaman 1:1	31.01	⌴	⌴
Helaman 1:1	32	difficulty	difficulty
Helaman 1:1	32.01	⌴	⌴
Helaman 1:1	33	among	among
Helaman 1:1	33.01	⌴	⌴
Helaman 1:1	34	the	the
Helaman 1:1	34.01	⌴	⌴
Helaman 1:1	35	people	people
Helaman 1:1	35.01	⌴	⌴
Helaman 1:1	36	of	of
Helaman 1:1	36.01	⌴	⌴
Helaman 1:1	37	the	the
Helaman 1:1	37.01	⌴	⌴
Helaman 1:1	38	Nephites	Nephites
Helaman 1:1	38.01	.	.
Helaman 1:2	1	For	For
Helaman 1:2	1.01	⌴	⌴
Helaman 1:2	2	behold	behold
Helaman 1:2	2.01	,	,
Helaman 1:2	2.02	⌴	⌴
Helaman 1:2	3	Pahoran	Pahoran
Helaman 1:2	3.01	⌴	⌴
Helaman 1:2	4	had	had
Helaman 1:2	4.01	⌴	⌴
Helaman 1:2	5	died	died
Helaman 1:2	5.01	,	,
Helaman 1:2	5.02	⌴	⌴
Helaman 1:2	6	and	and
Helaman 1:2	6.01	⌴	⌴
Helaman 1:2	7	gone	gone
Helaman 1:2	7.01	⌴	⌴
Helaman 1:2	8	the	the
Helaman 1:2	8.01	⌴	⌴
Helaman 1:2	9	way	way
Helaman 1:2	9.01	⌴	⌴
Helaman 1:2	10	of	of
Helaman 1:2	10.01	⌴	⌴
Helaman 1:2	11	all	all
Helaman 1:2	11.01	⌴	⌴
Helaman 1:2	12	the	the
Helaman 1:2	12.01	⌴	⌴
Helaman 1:2	13	earth	earth
Helaman 1:2	13.01	;	;
Helaman 1:2	13.02	⌴	⌴
Helaman 1:2	14	therefore	therefore
Helaman 1:2	14.01	⌴	⌴
Helaman 1:2	15	there	there
Helaman 1:2	15.01	⌴	⌴
Helaman 1:2	16	began	began
Helaman 1:2	16.01	⌴	⌴
Helaman 1:2	17	to	to
Helaman 1:2	17.01	⌴	⌴
Helaman 1:2	18	be	be
Helaman 1:2	18.01	⌴	⌴
Helaman 1:2	19	a	a
Helaman 1:2	19.01	⌴	⌴
Helaman 1:2	20	serious	serious
Helaman 1:2	20.01	⌴	⌴
Helaman 1:2	21	contention	contention
Helaman 1:2	21.01	⌴	⌴
Helaman 1:2	22	concerning	concerning
Helaman 1:2	22.01	⌴	⌴
Helaman 1:2	23	who	who
Helaman 1:2	23.01	⌴	⌴
Helaman 1:2	24	should	should
Helaman 1:2	24.01	⌴	⌴
Helaman 1:2	25	have	have
Helaman 1:2	25.01	⌴	⌴
Helaman 1:2	26	the	the
Helaman 1:2	26.01	⌴	⌴
Helaman 1:2	27	judgement	judgement
Helaman 1:2	27.01	⌴	⌴
Helaman 1:2	28	seat	seat
Helaman 1:2	28.01	⌴	⌴
Helaman 1:2	29	among	among
Helaman 1:2	29.01	⌴	⌴
Helaman 1:2	30	the	the
Helaman 1:2	30.01	⌴	⌴
Helaman 1:2	31	brethren	brethren
Helaman 1:2	31.01	,	,
Helaman 1:2	31.02	⌴	⌴
Helaman 1:2	32	which	who
Helaman 1:2	32.01	⌴	⌴
Helaman 1:2	33	were	were
Helaman 1:2	33.01	⌴	⌴
Helaman 1:2	34	the	the
Helaman 1:2	34.01	⌴	⌴
Helaman 1:2	35	sons	sons
Helaman 1:2	35.01	⌴	⌴
Helaman 1:2	36	of	of
Helaman 1:2	36.01	⌴	⌴
Helaman 1:2	37	Pahoran	Pahoran
Helaman 1:2	37.01	.	.
Helaman 1:3	1	Now	Now
Helaman 1:3	1.01	⌴	⌴
Helaman 1:3	2	these	these
Helaman 1:3	2.01	⌴	⌴
Helaman 1:3	3	are	are
Helaman 1:3	3.01	⌴	⌴
Helaman 1:3	4	their	their
Helaman 1:3	4.01	⌴	⌴
Helaman 1:3	5	names	names
Helaman 1:3	5.01	⌴	⌴
Helaman 1:3	6	which	who
Helaman 1:3	6.01	⌴	⌴
Helaman 1:3	7	did	did
Helaman 1:3	7.01	⌴	⌴
Helaman 1:3	8	contend	contend
Helaman 1:3	8.01	⌴	⌴
Helaman 1:3	9	for	for
Helaman 1:3	9.01	⌴	⌴
Helaman 1:3	10	the	the
Helaman 1:3	10.01	⌴	⌴
Helaman 1:3	11	judgement	judgement
Helaman 1:3	11.01	⌴	⌴
Helaman 1:3	12	seat	seat
Helaman 1:3	12.01	,	,
Helaman 1:3	12.02	⌴	⌴
Helaman 1:3	13	which	who
Helaman 1:3	13.01	⌴	⌴
Helaman 1:3	14	did	did
Helaman 1:3	14.01	⌴	⌴
Helaman 1:3	15	also	also
Helaman 1:3	15.01	⌴	⌴
Helaman 1:3	16	cause	cause
Helaman 1:3	16.01	⌴	⌴
Helaman 1:3	17	the	the
Helaman 1:3	17.01	⌴	⌴
Helaman 1:3	18	people	people
Helaman 1:3	18.01	⌴	⌴
Helaman 1:3	19	to	to
Helaman 1:3	19.01	⌴	⌴
Helaman 1:3	20	contend	contend
Helaman 1:3	20.01	:	:
Helaman 1:3	20.02	⌴	⌴
Helaman 1:3	21	Pahoran	Pahoran
Helaman 1:3	21.01	,	,
Helaman 1:3	21.02	⌴	⌴
Helaman 1:3	22	Paanchi	Paanchi
Helaman 1:3	22.01	,	,
