Citation	wID	1830	1837	1840	1841	1879	1920
Jarom 1:1	1	Now	Now
Jarom 1:1	1.01	⌴	⌴
Jarom 1:1	2	behold	behold
Jarom 1:1	2.01	,	,
Jarom 1:1	2.02	⌴	⌴
Jarom 1:1	3	I	I
Jarom 1:1	3.01	,	∅
Jarom 1:1	3.02	⌴	⌴
Jarom 1:1	4	Jarom	Jarom
Jarom 1:1	4.01	,	,
Jarom 1:1	4.02	⌴	⌴
Jarom 1:1	5	write	write
Jarom 1:1	5.01	⌴	⌴
Jarom 1:1	6	a	a
Jarom 1:1	6.01	⌴	⌴
Jarom 1:1	7	few	few
Jarom 1:1	7.01	⌴	⌴
Jarom 1:1	8	words	words
Jarom 1:1	8.01	,	,
Jarom 1:1	8.02	⌴	⌴
Jarom 1:1	9	according	according
Jarom 1:1	9.01	⌴	⌴
Jarom 1:1	10	to	to
Jarom 1:1	10.01	⌴	⌴
Jarom 1:1	11	the	the
Jarom 1:1	11.01	⌴	⌴
Jarom 1:1	12	commandment	commandment
Jarom 1:1	12.01	⌴	⌴
Jarom 1:1	13	of	of
Jarom 1:1	13.01	⌴	⌴
Jarom 1:1	14	my	my
Jarom 1:1	14.01	⌴	⌴
Jarom 1:1	15	father	father
Jarom 1:1	15.01	⌴	⌴
Jarom 1:1	16	Enos	Enos
Jarom 1:1	16.01	,	,
Jarom 1:1	16.02	⌴	⌴
Jarom 1:1	17	that	that
Jarom 1:1	17.01	⌴	⌴
Jarom 1:1	18	our	our
Jarom 1:1	18.01	⌴	⌴
Jarom 1:1	19	genealogy	genealogy
Jarom 1:1	19.01	⌴	⌴
Jarom 1:1	20	may	may
Jarom 1:1	20.01	⌴	⌴
Jarom 1:1	21	be	be
Jarom 1:1	21.01	⌴	⌴
Jarom 1:1	22	kept	kept
Jarom 1:1	22.01	.	.
Jarom 1:2	1	And	And
Jarom 1:2	1.01	⌴	⌴
Jarom 1:2	2	as	as
Jarom 1:2	2.01	⌴	⌴
Jarom 1:2	3	these	these
Jarom 1:2	3.01	⌴	⌴
Jarom 1:2	4	plates	plates
Jarom 1:2	4.01	⌴	⌴
Jarom 1:2	5	are	are
Jarom 1:2	5.01	⌴	⌴
Jarom 1:2	6	small	small
Jarom 1:2	6.01	,	,
Jarom 1:2	6.02	⌴	⌴
Jarom 1:2	7	and	and
Jarom 1:2	7.01	⌴	⌴
Jarom 1:2	8	as	as
Jarom 1:2	8.01	⌴	⌴
Jarom 1:2	9	these	these
Jarom 1:2	9.01	⌴	⌴
Jarom 1:2	10	things	things
Jarom 1:2	10.01	⌴	⌴
Jarom 1:2	11	are	are
Jarom 1:2	11.01	⌴	⌴
Jarom 1:2	12	written	written
Jarom 1:2	12.01	⌴	⌴
Jarom 1:2	13	for	for
Jarom 1:2	13.01	⌴	⌴
Jarom 1:2	14	the	the
Jarom 1:2	14.01	⌴	⌴
Jarom 1:2	15	intent	intent
Jarom 1:2	15.01	⌴	⌴
Jarom 1:2	16	of	of
Jarom 1:2	16.01	⌴	⌴
Jarom 1:2	17	the	the
Jarom 1:2	17.01	⌴	⌴
Jarom 1:2	18	benefit	benefit
Jarom 1:2	18.01	⌴	⌴
Jarom 1:2	19	of	of
Jarom 1:2	19.01	⌴	⌴
Jarom 1:2	20	our	our
Jarom 1:2	20.01	⌴	⌴
Jarom 1:2	21	brethren	brethren
Jarom 1:2	21.01	,	,
Jarom 1:2	21.02	⌴	⌴
Jarom 1:2	22	the	the
Jarom 1:2	22.01	⌴	⌴
Jarom 1:2	23	Lamanites	Lamanites
Jarom 1:2	23.01	,	,
Jarom 1:2	23.02	⌴	⌴
Jarom 1:2	24	wherefore	wherefore
Jarom 1:2	24.01	,	,
Jarom 1:2	24.02	⌴	⌴
Jarom 1:2	25	it	it
Jarom 1:2	25.01	⌴	⌴
Jarom 1:2	26	must	must
Jarom 1:2	26.01	⌴	⌴
Jarom 1:2	27	needs	needs
Jarom 1:2	27.01	⌴	⌴
Jarom 1:2	28	be	be
Jarom 1:2	28.01	⌴	⌴
Jarom 1:2	29	that	that
Jarom 1:2	29.01	⌴	⌴
Jarom 1:2	30	I	I
Jarom 1:2	30.01	⌴	⌴
Jarom 1:2	31	write	write
Jarom 1:2	31.01	⌴	⌴
Jarom 1:2	32	a	a
Jarom 1:2	32.01	⌴	⌴
Jarom 1:2	33	little	little
Jarom 1:2	33.01	;	;
Jarom 1:2	33.02	⌴	⌴
Jarom 1:2	34	but	but
Jarom 1:2	34.01	⌴	⌴
Jarom 1:2	35	I	I
Jarom 1:2	35.01	⌴	⌴
Jarom 1:2	36	shall	shall
Jarom 1:2	36.01	⌴	⌴
Jarom 1:2	37	not	not
Jarom 1:2	37.01	⌴	⌴
Jarom 1:2	38	write	write
Jarom 1:2	38.01	⌴	⌴
Jarom 1:2	39	the	the
Jarom 1:2	39.01	⌴	⌴
Jarom 1:2	40	things	things
Jarom 1:2	40.01	⌴	⌴
Jarom 1:2	41	of	of
Jarom 1:2	41.01	⌴	⌴
Jarom 1:2	42	my	my
Jarom 1:2	42.01	⌴	⌴
Jarom 1:2	43	prophesying	prophesying
Jarom 1:2	43.01	,	,
Jarom 1:2	43.02	⌴	⌴
Jarom 1:2	44	nor	nor
Jarom 1:2	44.01	⌴	⌴
Jarom 1:2	45	of	of
Jarom 1:2	45.01	⌴	⌴
Jarom 1:2	46	my	my
Jarom 1:2	46.01	⌴	⌴
Jarom 1:2	47	revelations	revelations
Jarom 1:2	47.01	.	.
Jarom 1:2	47.02	⌴	⌴
Jarom 1:2	48	For	For
