Citation	wID	1830	1837	1840	1841	1879	1920
Moroni 1:1	1	Now	Now
Moroni 1:1	1.01	⌴	⌴
Moroni 1:1	2	I	I
Moroni 1:1	2.01	,	,
Moroni 1:1	2.02	⌴	⌴
Moroni 1:1	3	Moroni	Moroni
Moroni 1:1	3.01	,	,
Moroni 1:1	3.02	⌴	⌴
Moroni 1:1	4	after	after
Moroni 1:1	4.01	⌴	⌴
Moroni 1:1	5	having	having
Moroni 1:1	5.01	⌴	⌴
Moroni 1:1	6	made	made
Moroni 1:1	6.01	⌴	⌴
Moroni 1:1	7	an	an
Moroni 1:1	7.01	⌴	⌴
Moroni 1:1	8	end	end
Moroni 1:1	8.01	⌴	⌴
Moroni 1:1	9	of	of
Moroni 1:1	9.01	⌴	⌴
Moroni 1:1	10	abridging	abridging
Moroni 1:1	10.01	⌴	⌴
Moroni 1:1	11	the	the
Moroni 1:1	11.01	⌴	⌴
Moroni 1:1	12	account	account
Moroni 1:1	12.01	⌴	⌴
Moroni 1:1	13	of	of
Moroni 1:1	13.01	⌴	⌴
Moroni 1:1	14	the	the
Moroni 1:1	14.01	⌴	⌴
Moroni 1:1	15	people	people
Moroni 1:1	15.01	⌴	⌴
Moroni 1:1	16	of	of
Moroni 1:1	16.01	⌴	⌴
Moroni 1:1	17	Jared	Jared
Moroni 1:1	17.01	,	,
Moroni 1:1	17.02	⌴	⌴
Moroni 1:1	18	I	I
Moroni 1:1	18.01	⌴	⌴
Moroni 1:1	19	had	had
Moroni 1:1	19.01	⌴	⌴
Moroni 1:1	20	supposed	supposed
Moroni 1:1	20.01	⌴	⌴
Moroni 1:1	21	not	not
Moroni 1:1	21.01	⌴	⌴
Moroni 1:1	22	to	to
Moroni 1:1	22.01	⌴	⌴
Moroni 1:1	23	have	have
Moroni 1:1	23.01	⌴	⌴
Moroni 1:1	24	written	written
Moroni 1:1	24.01	⌴	⌴
Moroni 1:1	25	more	more
Moroni 1:1	25.01	,	,
Moroni 1:1	25.02	⌴	⌴
Moroni 1:1	26	but	but
Moroni 1:1	26.01	⌴	⌴
Moroni 1:1	27	I	I
Moroni 1:1	27.01	⌴	⌴
Moroni 1:1	28	have	have
Moroni 1:1	28.01	⌴	⌴
Moroni 1:1	29	not	not
Moroni 1:1	29.01	⌴	⌴
Moroni 1:1	30	as	as
Moroni 1:1	30.01	⌴	⌴
Moroni 1:1	31	yet	yet
Moroni 1:1	31.01	⌴	⌴
Moroni 1:1	32	perished	perished
Moroni 1:1	32.01	;	;
Moroni 1:1	32.02	⌴	⌴
Moroni 1:1	33	and	and
Moroni 1:1	33.01	⌴	⌴
Moroni 1:1	34	I	I
Moroni 1:1	34.01	⌴	⌴
Moroni 1:1	35	make	make
Moroni 1:1	35.01	⌴	⌴
Moroni 1:1	36	not	not
Moroni 1:1	36.01	⌴	⌴
Moroni 1:1	37	myself	myself
Moroni 1:1	37.01	⌴	⌴
Moroni 1:1	38	known	known
Moroni 1:1	38.01	⌴	⌴
Moroni 1:1	39	to	to
Moroni 1:1	39.01	⌴	⌴
Moroni 1:1	40	the	the
Moroni 1:1	40.01	⌴	⌴
Moroni 1:1	41	Lamanites	Lamanites
Moroni 1:1	41.01	,	,
Moroni 1:1	41.02	⌴	⌴
Moroni 1:1	42	lest	lest
Moroni 1:1	42.01	⌴	⌴
Moroni 1:1	43	they	they
Moroni 1:1	43.01	⌴	⌴
Moroni 1:1	44	should	should
Moroni 1:1	44.01	⌴	⌴
Moroni 1:1	45	destroy	destroy
Moroni 1:1	45.01	⌴	⌴
Moroni 1:1	46	me	me
Moroni 1:1	46.01	.	.
Moroni 1:2	1	For	For
Moroni 1:2	1.01	⌴	⌴
Moroni 1:2	2	behold	behold
Moroni 1:2	2.01	,	,
Moroni 1:2	2.02	⌴	⌴
Moroni 1:2	3	their	their
Moroni 1:2	3.01	⌴	⌴
Moroni 1:2	4	wars	wars
Moroni 1:2	4.01	⌴	⌴
Moroni 1:2	5	are	are
Moroni 1:2	5.01	⌴	⌴
Moroni 1:2	6	exceeding	exceeding
Moroni 1:2	6.01	⌴	⌴
Moroni 1:2	7	fierce	fierce
Moroni 1:2	7.01	⌴	⌴
Moroni 1:2	8	among	among
Moroni 1:2	8.01	⌴	⌴
Moroni 1:2	9	themselves	themselves
Moroni 1:2	9.01	;	;
Moroni 1:2	9.02	⌴	⌴
Moroni 1:2	10	and	and
Moroni 1:2	10.01	⌴	⌴
Moroni 1:2	11	because	because
Moroni 1:2	11.01	⌴	⌴
Moroni 1:2	12	of	of
Moroni 1:2	12.01	⌴	⌴
Moroni 1:2	13	their	their
Moroni 1:2	13.01	⌴	⌴
Moroni 1:2	14	hatred	hatred
Moroni 1:2	14.01	,	,
Moroni 1:2	14.02	⌴	⌴
Moroni 1:2	15	they	they
Moroni 1:2	15.01	⌴	⌴
Moroni 1:2	16	put	put
Moroni 1:2	16.01	⌴	⌴
Moroni 1:2	17	to	to
Moroni 1:2	17.01	⌴	⌴
Moroni 1:2	18	death	death
Moroni 1:2	18.01	⌴	⌴
Moroni 1:2	19	every	every
Moroni 1:2	19.01	⌴	⌴
Moroni 1:2	20	Nephite	Nephite
Moroni 1:2	20.01	⌴	⌴
Moroni 1:2	21	that	that
Moroni 1:2	21.01	⌴	⌴
Moroni 1:2	22	will	will
Moroni 1:2	22.01	⌴	⌴
Moroni 1:2	23	not	not
Moroni 1:2	23.01	⌴	⌴
Moroni 1:2	24	deny	deny
Moroni 1:2	24.01	⌴	⌴
Moroni 1:2	25	the	the
Moroni 1:2	25.01	⌴	⌴
Moroni 1:2	26	Christ	Christ
Moroni 1:2	26.01	.	.
Moroni 1:3	1	And	And
Moroni 1:3	1.01	⌴	⌴
Moroni 1:3	2	I	I
Moroni 1:3	2.01	,	,
Moroni 1:3	2.02	⌴	⌴
Moroni 1:3	3	Moroni	Moroni
Moroni 1:3	3.01	,	,
Moroni 1:3	3.02	⌴	⌴
Moroni 1:3	4	will	will
Moroni 1:3	4.01	⌴	⌴
Moroni 1:3	5	not	not
Moroni 1:3	5.01	⌴	⌴
Moroni 1:3	6	deny	deny
Moroni 1:3	6.01	⌴	⌴
Moroni 1:3	7	the	the
Moroni 1:3	7.01	⌴	⌴
Moroni 1:3	8	Christ	Christ
Moroni 1:3	8.01	;	;
Moroni 1:3	8.02	⌴	⌴
Moroni 1:3	9	wherefore	wherefore
Moroni 1:3	9.01	,	,
Moroni 1:3	9.02	⌴	⌴
Moroni 1:3	10	I	I
Moroni 1:3	10.01	⌴	⌴
Moroni 1:3	11	wander	wander
Moroni 1:3	11.01	⌴	⌴
Moroni 1:3	12	whithersoever	whithersoever
Moroni 1:3	12.01	⌴	⌴
Moroni 1:3	13	I	I
Moroni 1:3	13.01	⌴	⌴
Moroni 1:3	14	can	can
Moroni 1:3	14.01	,	,
Moroni 1:3	14.02	⌴	⌴
Moroni 1:3	15	for	for
Moroni 1:3	15.01	⌴	⌴
Moroni 1:3	16	the	the
Moroni 1:3	16.01	⌴	⌴
Moroni 1:3	17	safety	safety
Moroni 1:3	17.01	⌴	⌴
Moroni 1:3	18	of	of
Moroni 1:3	18.01	⌴	⌴
Moroni 1:3	19	mine	mine
Moroni 1:3	19.01	⌴	⌴
Moroni 1:3	20	own	own
Moroni 1:3	20.01	⌴	⌴
Moroni 1:3	21	life	life
Moroni 1:3	21.01	.	.
Moroni 1:4	1	Wherefore	Wherefore
Moroni 1:4	1.01	,	∅
Moroni 1:4	1.02	⌴	⌴
Moroni 1:4	2	I	I
Moroni 1:4	2.01	⌴	⌴
Moroni 1:4	3	write	write
Moroni 1:4	3.01	⌴	⌴
Moroni 1:4	4	a	a
Moroni 1:4	4.01	⌴	⌴
Moroni 1:4	5	few	few
Moroni 1:4	5.01	⌴	⌴
Moroni 1:4	6	more	more
Moroni 1:4	6.01	⌴	⌴
Moroni 1:4	7	things	things
Moroni 1:4	7.01	,	,
Moroni 1:4	7.02	⌴	⌴
Moroni 1:4	8	contrary	contrary
Moroni 1:4	8.01	⌴	⌴
Moroni 1:4	9	to	to
Moroni 1:4	9.01	⌴	⌴
Moroni 1:4	10	that	that
Moroni 1:4	10.01	⌴	⌴
Moroni 1:4	11	which	which
Moroni 1:4	11.01	⌴	⌴
Moroni 1:4	12	I	I
Moroni 1:4	12.01	⌴	⌴
Moroni 1:4	13	had	had
Moroni 1:4	13.01	⌴	⌴
Moroni 1:4	14	supposed	supposed
Moroni 1:4	14.01	:	;
Moroni 1:4	14.02	⌴	⌴
Moroni 1:4	15	for	for
Moroni 1:4	15.01	⌴	⌴
Moroni 1:4	16	I	I
Moroni 1:4	16.01	⌴	⌴
Moroni 1:4	17	had	had
Moroni 1:4	17.01	⌴	⌴
Moroni 1:4	18	supposed	supposed
Moroni 1:4	18.01	⌴	⌴
Moroni 1:4	19	not	not
Moroni 1:4	19.01	⌴	⌴
Moroni 1:4	20	to	to
Moroni 1:4	20.01	⌴	⌴
Moroni 1:4	21	have	have
Moroni 1:4	21.01	⌴	⌴
Moroni 1:4	22	written	written
Moroni 1:4	22.01	⌴	⌴
Moroni 1:4	23	any	any
Moroni 1:4	23.01	⌴	⌴
Moroni 1:4	24	more	more
Moroni 1:4	24.01	;	;
Moroni 1:4	24.02	⌴	⌴
Moroni 1:4	25	but	but
Moroni 1:4	25.01	⌴	⌴
Moroni 1:4	26	I	I
